"site_name_wash_co_no_permit","in_wash_co_no_permit","address","lat","lng"
"ROCKMORE INTERNATIONAL INC",1,"10065 SW COMMERCE CIR, WILSONVILLE, OR 97070",45.335493,-122.777007
"SCOTTS LAWNSERVICE",1,"13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140",45.368296,-122.816837
"SHOWPLACE LANDSCAPE SERVICE INC",1,"10870 SW 289TH PL, NORTH PLAINS, OR 97133",45.668573,-123.028124
"SHOWPLACE LANDSCAPE SVCS INC",1,"25925 SW GRAHAMS FERRY RD, SHERWOOD, OR 97140",45.332665,-122.791198
"SIGNATURE LANDSCAPE CARE",1,"23275 SW 82ND AVE, TUALATIN, OR 97062",45.352843,-122.761881
"SPECIALIZED PAVEMENT MARKING",1,"11095 SW INDUSTRIAL WAY BLDG B, TUALATIN, OR 97062",45.367613,-122.78961
"STANDARD MULTIWALL BAG MFG CO",1,"1800 SW MERLO, BEAVERTON, OR 97006",45.508544,-122.851961
"STIMSON LUMBER COMPANY",1,"49800 SW SCOGGINS VALLY RD, GASTON, OR 97119",45.468992,-123.189299
"SUBSURFACE TECHNOLOGIES",1,"11100 NW GORDON RD, NORTH PLAINS, OR 97133",45.601129,-123.012232
"SUBURBAN PLATING LLC",1,"13019 SW HERMAN RD, TUALATIN, OR 97062",45.375717,-122.811236
"SUMITOMO ELECTRIC SEMICONDUCT",1,"7230 NW EVERGREEN PKWY, HILLSBORO, OR 97124",45.53819,-122.871281
"SUMMIT FOODS",1,"1840 B STREET, FOREST GROVE, OR 97116",45.51762,-123.115814
"SUMMIT FOODS INC",1,"32155 NW COTTAGE ST, NORTH PLAINS, OR 97133",45.596624,-123.004545
"SUMMIT NATURAL ENERGY CORP",1,"535 N 4TH AVE, CORNELIUS, OR 97113",45.524301,-123.066748
"SUNBURST PRODUCTS INC",1,"10054 SW ARCTIC DR, BEAVERTON, OR 97005",45.481262,-122.780735
"SURE POWER INC",1,"10189 SW AVERY ST, TUALATIN, OR 97062",45.37173,-122.782688
"TAPP LABEL CO LLC",1,"11000 SW 11TH ST STE 400-D, BEAVERTON, OR 97005",45.479595,-122.788146
"TEKTRONIX INC",1,"13600 SW KARL BRAUN DR, BEAVERTON, OR 97077",45.498606,-122.816481
"TEKTRONIX INC",1,"13955 SW TERMAN DR, BEAVERTON, OR 97077",45.496693,-122.819621
"TEKTRONIX INC",1,"13900 SW KARL BRAUN DR, BEAVERTON, OR 97007",45.499338,-122.819667
"TEKTRONIX INC",1,"13700 SW KARL BRAUN DR, BEAVERTON, OR 97005",45.499198,-122.818114
"TEREX SERVICES",1,"12805 SW 77TH PL, TIGARD, OR 97223",45.436623,-122.79817
"TEUFEL PRODUCTS COMPANY",1,"31615 NW SCOTCH CHURCH RD, HILLSBORO, OR 97124",45.572673,-123.000417
"THERMAL MODIFICATION TECHNOLOGIES",1,"19830 SW TETON AVE, TUALATIN, OR 97062",45.37647,-122.781909
"TIGARD CITY OF",1,"8955 SW ASH AVE, TIGARD, OR 97223",45.430559,-122.771271
"TIGARD SAND & GRAVEL LLC",1,"21455 SW 120TH, TUALATIN, OR 97062",45.364379,-122.799175
"TIGARD-TUALATIN AQUATIC DISTRICT",1,"22380 SW BOONES FERRY RD, TUALATIN, OR 97062",45.35794,-122.774724
"TIGARD-TUALATIN AQUATIC DISTRICT",1,"8680 SW DURHAM RD, TIGARD, OR 97224",45.404213,-122.763585
"TIGARD-TUALATIN SCHOOL DIST23J",1,"9000 SW DURHAM RD, TIGARD, OR 97224",45.40437,-122.766523
"TIGARD-TUALATIN SCHOOL DIST23J",1,"14650 SW 97TH AVE, TIGARD, OR 97224",45.415174,-122.77622
"TIGARD-TUALATIN SCHOOL DIST23J",1,"22300 SW BOONES FERRY RD, TUALATIN, OR 97062",45.35854,-122.77474
"TOKAI CARBON USA INC",1,"4495 NW 235TH AVE, HILLSBORO, OR 97124",45.553422,-122.9184
"TOKYO ELECTRON AMERICA INC",1,"1800 NE 25TH AVE STES 2-10, HILLSBORO, OR 97124",45.550595,-122.962802
"TOKYO OHKA KOGYO AMERICA INC",1,"4600 NW BROOKWOOD PKWY, HILLSBORO, OR 97124",45.548307,-122.927294
"TRANE OREGON SERVICE CO",1,"7257 SW KABLE LN, PORTLAND, OR 97224",45.408124,-122.749352
"TRIAX METAL PRODUCTS",1,"1880 SW MERLO DR, BEAVERTON, OR 97006",45.506223,-122.847206
"TRIMET",1,"16130 SW MERLO RD, BEAVERTON, OR 97006",45.505213,-122.844341
"TRIMET",1,"16250 SW JENKINS RD, BEAVERTON, OR 97006",45.507452,-122.840286
"TRUGREEN LANDCARE",1,"26020 NW EVERGREEN, HILLSBORO, OR 97124",45.549863,-122.984162
"TUALATIN COUNTRY CLUB",1,"9145 SW TUALATIN RD, TUALATIN, OR 97062",45.387416,-122.77063
"TUALATIN HILLS PARK & REC",1,"3500 SW 78TH, PORTLAND, OR 97225",45.494729,-122.757822
"TUALATIN HILLS PARK & REC",1,"18300 NW PARKVIEW BLVD, PORTLAND, OR 97229",45.545228,-122.866036
"TUALATIN HILLS PARK & REC",1,"15707 SW WALKER RD, BEAVERTON, OR 97006",45.516415,-122.838817
"TUALATIN HILLS PARK & REC",1,"7300 SW SCHOLLS FERRY RD, BEAVERTON, OR 97008",45.466422,-122.777294
"TUALATIN HILLS PARK & REC",1,"9985 SW 125TH, BEAVERTON, OR 97006",45.468067,-122.805
"TUALATIN HILLS PARK & REC",1,"18650 SW KINNAMAN RD, ALOHA, OR 97007",45.486201,-122.86922
"TUALATIN HILLS PARK & REC",1,"12850 SW THIRD, BEAVERTON, OR 97005",45.485179,-122.808908
