company source no,filename,facility name,st addr, city addr, zip addr
01-0029,010029-1As,Ash Grove Cement Company - Durkee,33060 Shirttail Creek Road,Durkee,97905
33-0001,33-0001_Sa,Sapa Extrusion Inc. The Dalles Cast,2929 West 2nd Street,The Dalles ,97058
24-8061,248061Bois,Boise Packaging & Newsprint L.L.C. (subsidiary of Packaging Corporation of America),2121 Madrona Avenue SE,Salem,97302
34-2684,342684Alli,Allied Systems Company,21433 SW Oregon Street,Sherwood,97160
22-8045,228045OFDF,OFD Foods LLC - Plant 2 & 3,525 25th Ave SW,Albany Oregon,97322
18-0013,180013Coll,Collins Products LLC,6410 Highway 66,Klamath Falls,97601
15-0004,150004Bois,Boise Cascade - Medford Plywood,3285 N. Pacific Hwy,Medford OR,97501
30-0075,300075ConA,Lamb WestonInc. - Hermiston Plant,78153 Westland Road,Hermiston,97838
22-6024,226024Ente,ENTEK International LLC,250 Hansard Ave,Lebanon OR,97355
24-9203,249203Aqua,Fiber-Fab LLC,PO Box 78,Gervais OR ,97026
24-0051,240051IMEX,IMEX America Corporation,3560 Fairview Industrial Drive SE,Salem,97302
03-2674,032674-1PC,PCC Structurals Inc. SSBO,13340 SE 84th Ave.,Clackamas,97015
10-0045,100045Swan,Swanson Group Mfg. LLC Glendale Plywood/Veneer,303 Mehlwood lane,Glendale  Oregon,97442
22-2522,222522Frer,Plant # 3 Plywood Division,47842 yons-Mill City Dr.,Mill City,97360
26-3241,263241Sapa,Sapa Extrusions,5325 NE Skyport Way,Portland,97218
