"address","lat","lon"
"21421 NW JACOBSON RD, HILLSBORO, OR 97124",45.564375,-122.896786
"3145 NE BROOKWOOD PKWY, HILLSBORO, OR 97124",45.54746,-122.928959
"4066 SE TUALATIN VALLEY HWY, HILLSBORO, OR 97123",45.501641,-122.941873
"1521 POPLAR LN, FOREST GROVE, OR 97116",45.514952,-123.088168
"7333 SW BONITA RD, TIGARD, OR 97224",45.415116,-122.752416
"4625 NW Brookwood Parkway, HILLSBORO, OR 97124",45.548307,-122.927294
"7904 SW Huntziker, Tigard, OR 97223",45.430559,-122.771271
"6850 NE CAMPUS WAY, HILLSBORO, OR 97124",45.531289,-122.914449
"20789 SW 115TH AVE, TUALATIN, OR 97062",45.389777,-122.795393
"4655 NW 235TH AVE, HILLSBORO, OR 97124",45.555892,-122.918352
"20285 SW CIPOLE RD, SHERWOOD, OR 97140",45.373437,-122.810757
"15570 SW Jenkins Rd., BEAVERTON, OR 97006",45.506702,-122.837403
"601 BASELINE ST, CORNELIUS, OR 97113",45.520078,-123.057014
"453 SW WASHINGTON ST, HILLSBORO, OR 97123",45.521507,-122.995048
"6800 SW 110TH AVE, BEAVERTON, OR 97005",45.486528,-122.790104
"5226 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222",45.433307,-122.61282
"28499 SW Boberg Rd, WILSONVILLE, OR 97070",45.313947,-122.772039
"1017 SW BERG PKWY, CANBY, OR 97013",45.255507,-122.704077
"16253 SE 122ND AVE, CLACKAMAS, OR 97015",45.405605,-122.537943
"11340 SE JENNIFER ST, CLACKAMAS, OR 97015",45.40319,-122.545791
"17555 SW 63RD AVE, LAKE OSWEGO, OR 97035",45.39916,-122.741322
"11525 SE MCLOUGHLIN BLVD, MILWAUKIE, OR 97222",45.440355,-122.641594
"15941 AGNES AVE, OREGON CITY, OR 97045",45.374759,-122.58935
"1152 NW COMMERCE CT, Estacada, OR 97023",45.307454,-122.349032
"6160 S WHISKEY HILL RD, HUBBARD, OR 97032",45.174846,-122.74051
"19402 SE FOSTER ROAD, DAMASCUS, OR 97089",45.440856,-122.473552
"13350 SE JOHNSON RD, MILWAUKIE, OR 97222",45.426444,-122.581897
"17770 S SCHMIDT RD, BEAVER CREEK, OR 97004",45.2372,-122.50478
"9120 SE 64TH AVE, PORTLAND, OR 97206",45.461497,-122.597622
"11465 SE HWY 212, CLACKAMAS, OR 97015",45.40772,-122.551058
"29400 SE RIVER MILL ROAD, ESTACADA, OR 97023",45.302679,-122.355654
"1765 RED SOILS COURT, OREGON CITY, OR 97045",45.332475,-122.594969
"9205 S KRAXBERGER RD, CANBY, OR 97013",45.226965,-122.670972
"14275 S. CLACKAMAS RIVER DRIVE, OREGON CITY, OR 97045",45.393598,-122.541187
"9051 SE 55TH AVE, PORTLAND, OR 97206",45.457743,-122.607443
"10560 SE Mather Rd, Clackamas, OR 97015",45.419772,-122.555378
