00266	5069	Furnace	Natural gas	39900601
00267	5069	Abbrasive blasting	Abbrasive blasting	30900208
00268	5069	Forklift	LPG	20301001
00269	5069	Air arc	Carbon arc cutting	30904700
00270	5069	Electric induction furnace	Electric induction furnace	30400705
00271	5069	Pouring/casting	Pouring/casting	30400708
00272	5069	Casting/cooling	Casting/cooling	30400713
00273	5069	Casting knockout	Casting knockout	30400710
00274	5069	Finishing clean/grind	Finishing clean/grind	30400711
00275	5069	Sand handling/reclamation	Sand handling/reclimation	30400714
00276	5069	Mold wash	Mold wash	NA
00277	5069	Air Casting, Steel Parts	Air Casting	30405001
00278	5069	Vacuum Casting, Steel Parts	Vacuum Casting	30405001
00279	5069	Vacuum Casting, Titanium Parts	Vacuum Casting	30405001
00280	5069	Steel Baghouses, without HEPA	Baghouses	30405001
00281	5069	Steel Baghouses, with HEPA	Baghouses	30405001
00282	5069	Titanium Baghouses, without HEPA	Baghouses	30405001
00283	5069	Titanium Baghouses, with HEPA	Baghouses	30405001
00284	5069	Fugitive, Steel	Fugitive	30488801
00285	5069	Fugitive, Titanium	Fugitive	30488801
00286	5069	Autoclave	Autoclave	30405001
00287	5069	Wax Burnout, Wax Component, with Thermal Oxidation	Wax Burnout	30404901
00288	5069	Wax Burnout, Non-Wax Component with Thermal Oxidation	Wax Burnout	30404901
00289	5069	Latex, with Thermal Oxidation	Latex	30405001
00290	5069	Core Facility - SDA 3C Binder 22	Core Facility	30405001
00291	5069	Core Facility - phenolic resin	Core Facility	30405001
00292	5069	Natural Gas Fired Equipment	Natural Gas Fired Equipment	30490003
00293	5069	Wax Layout 	Wax Department	30405001
00294	5069	X-Ray Developer	X-Ray	30405001
00295	5069	Epoxy Resin Adhesive	Core Prep	30405001
00296	5069	Molten Metal Insulation	Foundry	30405001
00300	5069	Dryer and Boiler	Fuel Combustion	30201206
00301	5069	Chopper Gun Application	non-atomized controlled spray	30800723
00302	5069	Clear Coat Resin Application	non-atomized mech. spray	30800723
00303	5069	Hand Resin Application -Molds	Hand lay-up	30800726
00304	5069	Tooling/Edge resin application	Hand lay-up	30800726
00305	5069	Gel Coat Appliation	Spray lay-up	30800718
00306	5069	Misc VOC Use	Misc.	30800799
00307	5069	Boiler	Natural Gas Heating	10300603
00309	7977	KSH 01	Emergency Generator
00310	7977	KSH 02	Emergency Generator
00311	7977	KSH 03	Emergency Generator
00316	5069	60-3	2881 hp ULSD Emergency Generator	20200102
00317	5069	60-4	2881 hp ULSD Emergency Generator	20200102
00318	7977	BLRS	Boilers
00323	5069	WELD MIG	Welding - E308	NA
00324	5069	WELD TIG	Welding - E70S	NA
00325	5069	Metal Fabricating	MILD STEEL	NA
00326	5069	Metal Fabricating	STAINLESS STEEL 	NA
00327	5069	Metal Fabricating	ALUMINUM	NA
00328	5069	Metal Fabricating	INCONEL	NA
00329	5069	Metal Fabricating	TITANIUM	NA
00330	5069	Combustion	PROPANE	NA
00331	5069	Combustion	NATURAL GAS	NA
00332	7977	Stack from booth #1	Painting/Coating
00446	7977	Weld	Welding Operations
00447	7977	Oven	Oven drying
00449	5069	SnPb-EL-1 Tin-Lead electroplating	Stannous & Lead fluoborate	NA
00450	5069	Ni-EL-1 Nickel electroplating	Nickel Sulfamate	NA
00451	5069	Ni-EL-2 Nickel electroplating	Nickel Sulfamate	NA
00452	5069	Copper Electroplating	Copper Sulfate	NA
00453	5069	Propane heaters	Propane usage	3-09-054
00454	5069	Welders	Welding	3-09-054
00456	5069	PSEL	Bread Baking	30203202
00457	5069	Natural Gas - combustion	Ovens	NA
00458	5069	Chromate Conversion Line	Chromate Conversion Tank	30901199
00459	5069	Chromate Conversion Line	Deoxidation Tank	30901102
00460	5069	Natural Gas Fired Furnaces	Natural Gas Fired Furnaces > 2.0 MMBtu	30400199
00461	5069	Aluminum Crucible Furnace	Casting aluminum parts	30400199
00462	5069	Aluminum Reverb Furnace	Aluminum Melting	30400103
00463	5069	Zinc Crucible Furnace	Zinc Melting	30400803
00474	5069	Generator A	DSG Engine	20100102
00475	5069	Generator B	DSG Engine	20100102
