00568	Sovema Chemsets 1-5	Chemset Chambers	NA	9303
00569	Radco Cleaner Baghouse	Radco Cleaning System	NA	9303
00570	COS Baghouse	Baghouse for COS Line 2 and Stackers 1 & 6	NA	9303
00571	COS Line 3 Radco	COS Line 3 and Stacker 3	NA	9303
00572	COS Line 4 Radco	COS Line 4 and Stacker 4	NA	9303
00573	Stacker 2 & 5 Radco	Stackers 2 & 5	NA	9303
00574	Wet Formation	Boosted Stock, Acid Fill, and Acid Top Off	NA	9303
00575	Natural Gas Combustion	Facility NG Combustion	NA	9303
00576	Fugitive Emissions	Facility Fugitive Emissions	NA	9303
00577	Gravel Plant	Crusher	6597
00579	Air Casting, Steel Parts	Air Casting	30405001	9303
00580	Autoclave	Autoclave	30405001	9303
00581	Fugitive, Steel	Fugitive	30488801	9303
00582	Heat Treat Condensation Filtration Device, Air Casting (Steel, vacuum/electric heat-treat furnace)	Heat Treat	30405001	9303
00583	Heat Treat Condensation Filtration Device, Air Casting (Steel, natural gas heat-treat furnace)	Heat Treat	30405001	9303
00584	Heat Treat Condensation Filtration Device, Vacuum Casting (Steel, vacuum/electric heat-treat furnace)	Heat Treat	30405001	9303
00585	Heat Treat Condensation Filtration Device, Vacuum Casting (Steel, natural gas heat-treat furnace)	Heat Treat	30405001	9303
00586	Investing, Hydrochloric Acid	Investing	30405001	9303
00587	Latex, no Thermal Oxidation	Latex	30405001	9303
00588	Natural Gas Fired Equipment	Natural Gas Fired Equipment	30490003	9303
00589	Steel Baghouses, with HEPA	Baghouses	30405001	9303
00590	Steel Baghouses, without HEPA	Baghouses	30405001	9303
00591	Torch Burnoff, Steel Air Casting	Misc Metal Processing	30405001	9303
00592	Torch Burnoff, Steel Vacuum Casting	Misc Metal Processing	30405001	9303
00593	Vacuum Casting, Steel Parts	Vacuum Casting	30405001	9303
00594	Wax Burnout, Non-Wax Component with Thermal Oxidation	Wax Burnout	30404901	9303
00595	Wax Burnout, Wax Component, no Thermal Oxidation	Wax Burnout	30404901	9303
00596	Investing, PGME (Steel)	Investing	30405001	9303
00597	X-Ray Developer	X-Ray	30405001	9303
00598	Wax Layout - Dykem	Wax Department	30405001	9303
00599	Wax Layout - Mold Release	Wax Department	30405001	9303
00600	Water Treatment - sodium hydroxide	Waste Water System	30482001	9303
00601	Swing Grind Cyclone	Swing Grind Cyclone	30405001	9303
00602	Steel Torch Burnoff Baghouses, without HEPA	Baghouses	30405001	9303
00603	Investing, IPA (steel)	Investing	30405001	9303
00604	Investing, IPA (steel), Thermal Oxidizer down	Investing	30405001	9303
00605	Molten Metal Insulation	Foundry	30405001	9303
00606	Board Dryer - NG	Natural Gas Combustion*	3-05-015-20 (Gypsum Manufacturing - Drying Kiln)	9303
00608	Boiler	Boiler Natural Gas	10200603	9303
00609	Solar Saturn T-1300 Turbine 	Turbine	20300202	9303
00610	IR1	Reciprocating Engine Natural Gas	20300201	9303
00611	IR2	Reciprocating Engine Natural Gas	20300201	9303
00612	Emergency Generator	Generator Natural Gas	20300201	9303
00614	R-1, R-4, R-5, SM-6, HF-23, HWT, TE-1	Natural gas fired furnaces, hot water cleaning tank, & thermal evaporator	39000605, 50300713, 10200603	9303
00615	R-1, R-4, R-5, SM-6, HF-23, H-1 through 16, H-18, H-19, H-518	Melting and holding furnaces	39000605, 30400114	9303
00616	R-1, R-4, R-5, SM-6, HF-23, H-1 through 16, H-18, H-19, H-518	Melting and holding furnaces	39000605, 30400114	9303
00617	R-1, R-4, R-5, SM-6, HF-23, H-1 through 16, H-18, H-19, H-518	Melting and holding furnaces	39000605, 30400114	9303
00618	R-1, R-4, R-5, SM-6, HF-23, H-1 through 16, H-18, H-19, H-518	Melting and holding furnaces	39000605, 30400114	9303
00619	Ovens Natural Gas use	Natural Gas Combustion	10300603	9303
00620	Boilers Natural Gas Use	Natural Gas Combustion	10300603	9303
00621	Variety Oven 	Oven	30203201	9303
00622	Auto Oven 	Oven	30203201	9303
00623	Bun Oven 	Oven	30203201	9303
00635	Dryer	Fuel Combustion	30201206	9303
00637	Gelcoat Process - Spray Application	GEL - CCP 99-RW-005 Base White Sanitary	NA	9303
00638	Gelcoat Process - Spray Application	GEL - CCP HAP 30 Adventurer White 572542	NA	9303
00639	Gelcoat Process - Spray Application	GEL  -  SDS - DURATEC - Dura-Kote 991WC156 Adventure White	NA	9303
00640	Gelcoat Process - Spray Application	GEL  -  SDS - DURATEC - Dura-Kote Sanitary White	NA	9303
00641	Non-Atomized Mech Resin	RSN - ASH - Aropol L 65332 T-25 Resin-	NA	9303
