"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-2029","Total - All Pollutants","7,434.369","4,770.152","2,664.218","NA"
"26-2029","Toluene","2,542.614","1,631.653","910.961","FALSE"
"26-2029","Xylenes (mixed) including:","1,918.640","1,231.241","687.399","FALSE"
"26-2029","Hexane","1,248.820","801.697","447.123","FALSE"
"26-2029","Benzene","818.820","523.937","294.884","FALSE"
"26-2029","2,2,4-Trimethylpentane","519.023","333.070","185.953","FALSE"
"26-2029","Ethyl benzene","384.885","246.987","137.898","FALSE"
"26-2029","Ammonia","1.507","1.507","0.000","FALSE"
"26-2029","Formaldehyde","0.035","0.035","0.000","FALSE"
"26-2029","Total - Heavy Metals Only","0.019","0.019","0.000","TRUE"
"26-2029","Zinc","0.014","0.014","0.000","TRUE"
"26-2029","Barium","0.002","0.002","0.000","FALSE"
"26-2029","Acetaldehyde","0.001","0.001","0.000","FALSE"
"26-2029","Acrolein","0.001","0.001","0.000","FALSE"
"26-2029","Vanadium (fume or dust)","0.001","0.001","0.000","TRUE"
"26-2029","Nickel","0.001","0.001","0.000","TRUE"
"26-2029","Molybdenum trioxide","0.001","0.001","0.000","TRUE"
"26-2029","Chromium VI","0.001","0.001","0.000","TRUE"
"26-2029","Cadmium","0.001","0.001","0.000","TRUE"
"26-2029","Copper and compounds","0.000","0.000","0.000","TRUE"
"26-2029","Naphthalene","0.000","0.000","0.000","FALSE"
"26-2029","Manganese","0.000","0.000","0.000","TRUE"
"26-2029","Mercury","0.000","0.000","0.000","TRUE"
"26-2029","Arsenic","0.000","0.000","0.000","TRUE"
"26-2029","Cobalt","0.000","0.000","0.000","TRUE"
"26-2029","Selenium","0.000","0.000","0.000","TRUE"
"26-2029","2-Methyl naphthalene","0.000","0.000","0.000","FALSE"
"26-2029","Phenanthrene","0.000","0.000","0.000","FALSE"
"26-2029","7,12-Dimethylbenz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-2029","Beryllium","0.000","0.000","0.000","FALSE"
"26-2029","Pyrene","0.000","0.000","0.000","FALSE"
"26-2029","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-2029","Fluorene","0.000","0.000","0.000","FALSE"
