"","company_source_no","company_name","address","total_unfiltered_emissions","total_unfiltered_emissions_heavy_metals_only"
"284","24-0104","Western Industrial Fabricator & Machinist","23019 Main St NE, St. Paul, 97317",0.40788,0.40788
"285","24-0111","Boman Industries Inc.","2470 Ewald Ave. SE, Salem, 97302",0.296604,0.296604
"286","37-0004","Gas Transmission Northwest LLC, Stanfield Meter Station","0.8 miles east of Stanfield Loop Road on Guthrey Lane, Stanfield, 97875",0.21233585,NA
"287","26-0273","Apex Anodizing","7015 NE Columbia Blvd, Portland, 97218-3344",0.0856518,0.0856518
"288","11-0006","InEnTec Columbia Ridge LLC","17661 Cedar Springs Lane, Arlington, OR, 97812",0.08404627392,0
"289","22-0044","CG Industries","1282 Commercial Way SE, Albany, 97322",0.0551676,0.0001236
"290","05-0011","Alden Bailey / Loki","92328 Taylorville Rd., Clatskanie, OR, 97016",0.00450374050144648,NA
"291","03-9511","Universal Recycling Technologies, LLC","10151 SE Jennifer Street, Clackamas, 97015",0.0005704862968,0.0005704862968
"292","02-2054","Knife River Corvallis Concrete","28602 Hwy 34, Corvallis, 97339",0,NA
"293","02-2125","CPM Development Corp. dba Green & White Rock Products","28504 Payne Rd, Corvallis, 97339",0,NA
"294","03-0002","Oldcastle Precast, Inc.","PO Box 323, 28499 SW Boberg Rd., Wilsonville, 97070",0,NA
"295","03-0007","Glacier Northwest, Inc. - Clackamas Ready Mix","11340 SE Jennifer Street, Clackamas, 97015",0,NA
"296","03-0048","Kaiser Permante Sunnyside Medical Center","10180 SE Sunnyside Rd, Clackamas, 97015",0,NA
"297","03-0051","Kaiser Permante Sunnyside Medical Center","10180 SE Sunnyside Rd, Clackamas, 97015",0,NA
"298","03-0057","AGC Heat Transfer.","9109 SE 64th Ave., Portland, 97206",0,NA
"299","03-2763","Stutzman Environmental Products","410 industrial Way, Mollala, 97038",0,0
"300","05-0006","Columbia Pacific Bio-Refinery","81200 Kallunki Road, Clatskanie, 97016",0,0
"301","09-0018","BRIGHT WOOD CORPORATION - REDMOND SITE","630 SE 1ST STREET, REDMOND, 97756",0,NA
"302","15-0159","Biomass One, L.P.","2350 Avenue G, White City, Oregon, 97503",0,NA
"303","19-0016-ST-01","Red Rock Biofuels","Tax lot # 39S20E000004900 (No address assigned yet); Latitude 42°9'41.76""N; Longitude 120°21'0.87""W, Lakeview, 97630",0,0
"304","25-0021","Novus Pacific LLC","Columbia Blvd, Boardman Oregon, 97818",0,NA
"305","26-0172","Columbia Blvd. Waste Water Treatment","5001 N. Columbia Boulevard , Portland, 97203-2098",0,NA
"306","34-2565","Hampton Lumber Mills, Inc. dba Banks Lumber Company","13620 NW Commerce Street, Banks, 97106",0,NA
